Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,31169,-,-,India,19.95,76.45,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed
2001,3,8,8,30,170,459,2,30.020736397605845,954.7162475585938,1.1181433200836182
2001,3,8,9,30,206,624,1,34.24807411348314,954.550537109375,1.4591304063796997
2001,3,8,10,30,225,716,0,36.866475771928435,954.1658935546875,1.7377694845199585
2001,3,8,11,30,239,758,0,38.59234036093403,953.251708984375,1.8481687307357788
2001,3,8,12,30,244,772,0,39.498048753177386,951.835205078125,1.8270176649093628
2001,3,8,13,30,240,762,0,39.60704238990485,950.8418579101562,1.7638442516326904
2001,3,8,14,30,228,724,0,38.84699807433384,950.0623168945312,1.664740800857544
2001,3,8,15,30,205,650,0,37.21063747053546,949.5885620117188,1.5690884590148926
2001,3,8,16,30,180,467,0,34.76714401924096,949.5003662109375,1.4802159070968628
2001,3,8,17,30,110,184,4,31.228419662695273,950.1836547851562,1.2778133153915405
2001,3,8,18,30,0,0,5,29.210915194406084,951.1558227539062,0.8373176455497742
2001,3,8,19,30,0,0,8,28.17955703057123,951.8659057617188,0.3987872004508972
2001,3,8,20,30,0,0,7,27.160535650920338,952.5255126953125,0.4749301075935364
2001,3,8,21,30,0,0,10,26.10599455777691,952.5675659179688,0.9133070707321167
2001,3,8,22,30,0,0,9,25.11933627337288,952.5908203125,1.2377175092697144
2001,3,8,23,30,0,0,10,24.196092075618253,952.2398071289062,1.5683166980743408
2001,3,9,0,30,0,0,11,23.349850507285907,951.6598510742188,1.9522403478622437
2001,3,9,1,30,0,0,12,22.605218966540406,951.030517578125,2.2927613258361816
2001,3,9,2,30,0,0,12,21.9356930692623,950.9110107421875,2.5502283573150635
2001,3,9,3,30,0,0,13,21.35862560241526,951.453857421875,2.7228024005889893
2001,3,9,4,30,0,0,13,20.901274740227734,952.1097412109375,2.9023284912109375
2001,3,9,5,30,0,0,13,20.555418592286856,953.235107421875,3.0818216800689697
2001,3,9,6,30,0,0,13,21.617686870866578,954.2371826171875,3.1276936531066895
2001,3,9,7,30,92,148,14,25.187027423720963,955.2592163085938,3.425159215927124
2001,3,9,8,30,189,316,15,28.6290455460595,955.675048828125,3.979541301727295
2001,3,9,9,30,195,605,15,30.92012125047114,955.483154296875,4.030988693237305
2001,3,9,10,30,220,686,15,32.636968040660236,954.90771484375,3.909552574157715
2001,3,9,11,30,234,728,15,33.82320677576149,953.8068237304688,3.709014654159546
2001,3,9,12,30,239,744,15,34.460107888393566,952.6489868164062,3.425079584121704
2001,3,9,13,30,235,734,15,34.60435283029466,951.9277954101562,3.1031813621520996
2001,3,9,14,30,223,697,15,34.07935415860567,950.9451293945312,2.9061477184295654
2001,3,9,15,30,219,28,14,32.79976987658392,950.8771362304688,2.9892263412475586
2001,3,9,16,30,83,0,14,30.793273043760735,951.005615234375,3.5510339736938477
2001,3,9,17,30,34,0,15,28.44246537941251,951.9243774414062,4.175436019897461
2001,3,9,18,30,0,0,15,26.74015645141492,952.83740234375,4.679508686065674
2001,3,9,19,30,0,0,16,25.50896110536752,953.700927734375,4.923618316650391
2001,3,9,20,30,0,0,17,24.622578569421194,954.3041381835938,4.915676593780518
2001,3,9,21,30,0,0,17,23.923720683283136,954.751220703125,4.856687545776367
2001,3,9,22,30,0,0,18,23.3423194213928,954.3345336914062,4.689754009246826
2001,3,9,23,30,0,0,18,22.807521938644868,953.6781616210938,4.413898468017578
2001,3,10,0,30,0,0,18,22.28937859410985,953.114990234375,4.079446792602539
2001,3,10,1,30,0,0,18,21.79144515193576,952.703857421875,3.7522330284118652
2001,3,10,2,30,0,0,18,21.319682132208698,952.4683227539062,3.6293656826019287
2001,3,10,3,30,0,0,18,20.941240646558526,952.9300537109375,3.5927462577819824
2001,3,10,4,30,0,0,18,20.59057520512812,953.2028198242188,3.5642707347869873
2001,3,10,5,30,0,0,18,20.264411789571568,953.9385986328125,3.5328896045684814
2001,3,10,6,30,0,0,18,21.034821038545203,954.5213012695312,3.329503059387207
2001,3,10,7,30,86,63,17,24.351006541756988,955.3067016601562,3.2379770278930664
2001,3,10,8,30,156,471,16,28.305694456013214,955.435302734375,3.1063928604125977
2001,3,10,9,30,197,615,14,32.108357627044825,955.550537109375,2.6330270767211914
2001,3,10,10,30,222,697,12,35.23420163887744,954.8916015625,2.159353256225586
2001,3,10,11,30,236,740,10,37.43119493370733,953.8712158203125,1.7223364114761353
2001,3,10,12,30,241,755,9,38.67723861782707,952.4723510742188,1.3838001489639282
2001,3,10,13,30,237,745,8,38.93220061348035,951.475830078125,1.130354881286621
2001,3,10,14,30,370,484,8,38.18229260043188,950.7037963867188,0.8308115601539612
2001,3,10,15,30,236,46,8,36.440106688551566,950.3770751953125,0.8375339508056641
2001,3,10,16,30,224,192,9,33.41236376314015,950.7600708007812,1.9006999731063843
2001,3,10,17,30,93,28,12,30.500726163679587,951.8214111328125,3.2668912410736084
2001,3,10,18,30,0,0,15,28.015323524406654,952.8178100585938,4.134265422821045
2001,3,10,19,30,0,0,17,25.950092516555117,953.9747924804688,4.637832164764404
2001,3,10,20,30,0,0,17,24.58656908307171,954.4722290039062,4.558380126953125
2001,3,10,21,30,0,0,17,23.721876586706003,954.9012451171875,4.296916961669922
2001,3,10,22,30,0,0,17,23.19674347307972,954.4780883789062,4.023641109466553
2001,3,10,23,30,0,0,17,22.776881063678047,954.1116333007812,3.712867498397827
2001,3,11,0,30,0,0,17,22.42964795059663,953.7520751953125,3.443535327911377
2001,3,11,1,30,0,0,17,22.036814764875146,953.2662353515625,3.1871049404144287
2001,3,11,2,30,0,0,16,21.685702697811053,952.9627685546875,3.11367130279541
2001,3,11,3,30,0,0,16,21.346280329891385,953.084716796875,3.030778646469116
2001,3,11,4,30,0,0,16,20.99850956621367,953.7141723632812,2.8427350521087646
