,Year,Month,Day,Hour,Minute,DHI,DNI,Dew Point,Temperature,Pressure,Wind Speed,Time
134,2001,1,6,14,30,196,665,6,31.47856158330467,953.383544921875,0.2277960628271103,14:30:00
135,2001,1,6,15,30,169,572,6,29.854911800427548,953.1416015625,0.09704912453889848,15:30:00
136,2001,1,6,16,30,122,401,9,27.206077408183432,953.2877807617188,0.19987885653972626,16:30:00
137,2001,1,6,17,30,19,0,13,24.127434216091213,953.912841796875,0.8149700760841371,17:30:00
138,2001,1,6,18,30,0,0,11,23.054486887255337,954.1993408203124,1.4284149408340454,18:30:00
150,2001,1,7,6,30,0,0,10,16.861477518199766,955.1830444335938,2.465735673904419,06:30:00
151,2001,1,7,7,30,28,0,10,18.75329009195832,955.7454223632812,2.298175573348999,07:30:00
152,2001,1,7,8,30,121,395,10,22.234895797154245,956.3872680664062,2.108073711395264,08:30:00
153,2001,1,7,9,30,168,566,8,26.586057734864088,956.64794921875,2.3264238834381104,09:30:00
154,2001,1,7,10,30,195,660,8,29.662333297046303,956.05029296875,2.197232961654663,10:30:00
155,2001,1,7,11,30,210,708,8,31.432252024982066,954.7373046875,1.9893455505371092,11:30:00
156,2001,1,7,12,30,215,724,8,32.3707071932198,953.4292602539062,1.8287986516952517,12:30:00
157,2001,1,7,13,30,363,174,8,32.468298110731325,952.2896118164062,1.6957864761352541,13:30:00
158,2001,1,7,14,30,266,480,8,31.75484833803739,951.4774169921876,1.6774264574050903,14:30:00
159,2001,1,7,15,30,221,436,8,30.28937355018445,951.1671142578124,1.7375673055648804,15:30:00
160,2001,1,7,16,30,141,110,10,27.784465011225052,951.5511474609376,1.5802940130233765,16:30:00
161,2001,1,7,17,30,10,0,12,25.47131117708341,951.8023071289062,1.2433388233184814,17:30:00
162,2001,1,7,18,30,0,0,12,24.528790459992308,952.3187255859376,0.9806448221206664,18:30:00
174,2001,1,8,6,30,0,0,6,14.938764158323407,954.0433349609376,2.801957607269287,06:30:00
175,2001,1,8,7,30,41,45,6,17.381586111226962,954.6675415039062,2.268311023712158,07:30:00
176,2001,1,8,8,30,136,336,6,21.331668328916127,955.2313232421876,1.5491458177566528,08:30:00
177,2001,1,8,9,30,169,576,4,26.45326982287077,955.1948852539062,1.7329096794128418,09:30:00
178,2001,1,8,10,30,197,670,4,29.376341723136814,954.9090576171876,1.6413156986236572,10:30:00
179,2001,1,8,11,30,211,718,5,31.16882234390175,953.9758911132812,1.63969087600708,11:30:00
180,2001,1,8,12,30,216,733,5,32.08773447829992,953.1118774414062,1.7274230718612669,12:30:00
181,2001,1,8,13,30,211,718,6,32.24690672211455,952.2506103515624,1.84729528427124,13:30:00
182,2001,1,8,14,30,197,670,6,31.54780388742114,951.838623046875,1.8812525272369385,14:30:00
183,2001,1,8,15,30,170,577,5,30.10254259128976,951.6071166992188,1.803089261054993,15:30:00
184,2001,1,8,16,30,123,408,7,27.524806550262607,951.696533203125,1.7193244695663452,16:30:00
185,2001,1,8,17,30,34,0,10,24.27359700992673,952.2635498046876,2.073993444442749,17:30:00
186,2001,1,8,18,30,0,0,9,23.076906599477862,952.880126953125,2.6373279094696045,18:30:00
198,2001,1,9,6,30,0,0,5,14.434214160717374,954.9268798828124,1.8866780996322632,06:30:00
199,2001,1,9,7,30,39,29,4,17.295561432678653,955.7296752929688,1.6893578767776491,07:30:00
